code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_group,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,completed_mooc
AAA,2013J,11391,1,East Anglian Region,,90-100%,3,55<=,0,240,1,Pass,-159,1
AAA,2013J,28400,2,Scotland,,20-30%,2,35-55,0,60,1,Pass,-53,1
AAA,2013J,30268,2,North Western Region,3,30-40%,2,35-55,0,60,2,Withdrawn,-92,0
AAA,2013J,31604,2,South East Region,3,50-60%,2,35-55,0,60,1,Pass,-52,1
AAA,2013J,32885,2,West Midlands Region,2,50-60%,1,0-35,0,60,1,Pass,-176,1
AAA,2013J,38053,1,Wales,3,80-90%,2,35-55,0,60,1,Pass,-110,1
AAA,2013J,45462,1,Scotland,,30-40%,1,0-35,0,60,1,Pass,-67,1
AAA,2013J,45642,2,North Western Region,3,90-100%,1,0-35,0,120,1,Pass,-29,1
AAA,2013J,52130,2,East Anglian Region,3,70-80%,1,0-35,0,90,1,Pass,-33,1
AAA,2013J,53025,1,North Region,5,,3,55<=,0,60,1,Pass,-179,1
AAA,2013J,57506,1,South Region,2,70-80%,2,35-55,0,60,1,Pass,-103,1
AAA,2013J,58873,2,East Anglian Region,3,20-30%,1,0-35,0,60,1,Pass,-47,1
AAA,2013J,59185,1,East Anglian Region,2,60-70%,2,35-55,0,60,1,Pass,-59,1
AAA,2013J,62155,2,North Western Region,,50-60%,1,0-35,0,60,1,Pass,-68,1
AAA,2013J,63400,1,Scotland,2,40-50%,2,35-55,0,60,1,Pass,-67,1
AAA,2013J,65002,2,East Anglian Region,3,70-80%,1,0-35,0,60,1,Withdrawn,-180,0
AAA,2013J,70464,2,West Midlands Region,3,60-70%,2,35-55,0,60,1,Pass,-95,1
AAA,2013J,71361,1,Ireland,,,2,35-55,0,60,1,Pass,-130,1
AAA,2013J,74372,1,East Anglian Region,3,Oct-20,2,35-55,0,150,1,Fail,-50,1
AAA,2013J,75091,1,South West Region,3,30-40%,2,35-55,0,60,1,Pass,-107,1
AAA,2013J,77367,1,East Midlands Region,3,30-40%,1,0-35,0,60,1,Pass,-27,1
AAA,2013J,91265,1,North Western Region,,0-10%,1,0-35,0,60,1,Pass,-31,1
AAA,2013J,94961,1,South Region,2,70-80%,2,35-55,0,60,1,Withdrawn,-170,0
AAA,2013J,98094,1,Wales,2,70-80%,2,35-55,0,60,1,Pass,-107,1
AAA,2013J,100893,1,Yorkshire Region,3,20-30%,1,0-35,0,60,1,Pass,-62,1
AAA,2013J,101781,1,South Region,2,80-90%,2,35-55,0,60,1,Pass,-103,1
AAA,2013J,102806,1,North Western Region,3,30-40%,1,0-35,0,60,1,Pass,-107,1
AAA,2013J,102952,1,London Region,,60-70%,1,0-35,0,60,1,Pass,-100,1
AAA,2013J,104476,1,Ireland,5,,2,35-55,0,60,1,Pass,-109,1
AAA,2013J,106247,1,South Region,,80-90%,2,35-55,0,60,1,Withdrawn,5,0
AAA,2013J,106577,1,East Midlands Region,2,20-30%,1,0-35,0,60,1,Pass,-107,1
AAA,2013J,110175,1,East Anglian Region,,80-90%,2,35-55,0,60,1,Pass,-110,1
AAA,2013J,111717,2,East Anglian Region,,90-100%,2,35-55,0,60,1,Pass,-43,1
AAA,2013J,113295,1,Yorkshire Region,2,60-70%,2,35-55,0,60,1,Pass,-26,1
AAA,2013J,114017,2,North Region,5,,2,35-55,0,60,1,Pass,-29,1
AAA,2013J,114999,1,Yorkshire Region,,60-70%,2,35-55,0,60,1,Pass,-68,1
AAA,2013J,116541,1,Wales,,0-10%,1,0-35,0,60,1,Pass,-68,1
AAA,2013J,116692,1,East Anglian Region,3,70-80%,2,35-55,0,60,1,Pass,-32,1
AAA,2013J,118983,1,East Midlands Region,,30-40%,1,0-35,0,120,1,Pass,-99,1
AAA,2013J,123044,1,South Region,3,40-50%,2,35-55,0,60,1,Pass,-82,1
AAA,2013J,127582,2,East Midlands Region,3,40-50%,1,0-35,0,180,1,Pass,-31,1
AAA,2013J,129955,1,West Midlands Region,3,50-60%,1,0-35,0,60,1,Withdrawn,-197,0
AAA,2013J,132976,2,East Anglian Region,2,80-90%,2,35-55,0,120,1,Pass,-75,1
AAA,2013J,134143,2,South East Region,3,90-100%,2,35-55,0,60,1,Distinction,-96,1
AAA,2013J,135335,2,East Anglian Region,2,20-30%,1,0-35,0,180,1,Withdrawn,-29,0
AAA,2013J,135400,2,South East Region,2,90-100%,2,35-55,0,60,2,Withdrawn,-32,0
AAA,2013J,137873,1,South West Region,3,40-50%,2,35-55,0,60,1,Pass,-195,1
AAA,2013J,141355,2,East Midlands Region,3,30-40%,1,0-35,0,240,1,Pass,-61,1
AAA,2013J,141377,1,South West Region,3,90-100%,1,0-35,0,345,1,Withdrawn,-110,0
AAA,2013J,142326,2,North Region,3,50-60%,2,35-55,0,60,1,Pass,-37,1
AAA,2013J,144801,2,South Region,,80-90%,2,35-55,0,60,1,Pass,-67,1
AAA,2013J,145130,1,South West Region,,60-70%,1,0-35,0,120,1,Pass,-36,1
AAA,2013J,146188,2,West Midlands Region,3,20-30%,1,0-35,0,60,2,Fail,-132,1
AAA,2013J,147756,1,North Region,2,60-70%,1,0-35,0,120,1,Fail,-92,1
AAA,2013J,147793,2,North Region,2,80-90%,1,0-35,0,90,1,Withdrawn,-138,0
AAA,2013J,148993,2,North Western Region,3,30-40%,2,35-55,0,60,2,Withdrawn,-174,0
